Benglam au Khungsaai rek kuh k'ee you rah rei lam dau mthungbi ngu	Benglam au Khungsaai rek kuh k'ee you rah rei lam dau mthungbi ngu	190	4950	Benglam au Khungsaai rek kuh k'ee you rah rei lam dau mthungbi ngu
mkyoon thuunbi nguKhungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,	mkyoon thuunbi nguKhungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,	5700	7135	mkyoon thuunbi nguKhungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,
Khungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,	Khungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,	7350	10720	Khungsaai rek va ngu ‘Leen,’ mthuunbi ngu ‘Mm, ah,
txhii da achen bih chet dei ni maang, rii ngi mhei huuk in, di dau mthungbi ngu,	txhii da achen bih chet dei ni maang, rii ngi mhei huuk in, di dau mthungbi ngu,	10960	14360	txhii da achen bih chet dei ni maang, rii ngi mhei huuk in, di dau mthungbi ngu,
“Rii ngi hau thung mhei huuk in,” di thi in rah vang in rah huvah thung thah mhei txen in,	“Rii ngi hau thung mhei huuk in,” di thi in rah vang in rah huvah thung thah mhei txen in,	14675	18370	“Rii ngi hau thung mhei huuk in,” di thi in rah vang in rah huvah thung thah mhei txen in,
di dau mthungbi ngu, Ong ngu, di leek lam dau vang lam dau ah mkhuling thuh	di dau mthungbi ngu, Ong ngu, di leek lam dau vang lam dau ah mkhuling thuh	18575	21680	di dau mthungbi ngu, Ong ngu, di leek lam dau vang lam dau ah mkhuling thuh
huuk lam thi da ngu	huuk lam thi da ngu	21932	23022	huuk lam thi da ngu
m'am arlaan nuh Benglam va ngu mrii lou da ding bul leen psuk thi da mKhungsaai rek a vang lam da Hoi a hoi a mtxen in mtxen in mtxen in	m'am arlaan nuh Benglam va ngu mrii lou da ding bul leen psuk thi da mKhungsaai rek a vang lam da Hoi a hoi a mtxen in mtxen in mtxen in	23440	30670	m'am arlaan nuh Benglam va ngu mrii lou da ding bul leen psuk thi da mKhungsaai rek a vang lam da Hoi a hoi a mtxen in mtxen in mtxen in
arvang pchaang vot mda, Hash, ava' Benglam a tpang mruu ktang daat a,	arvang pchaang vot mda, Hash, ava' Benglam a tpang mruu ktang daat a,	30990	34670	arvang pchaang vot mda, Hash, ava' Benglam a tpang mruu ktang daat a,
di lam dau mrhei sut thungbi ngu Oo,	di lam dau mrhei sut thungbi ngu Oo,	34995	36725	di lam dau mrhei sut thungbi ngu Oo,
Benglam ktaak paa ding leen nuh psuk thi da Benglam a chen chdau	Benglam ktaak paa ding leen nuh psuk thi da Benglam a chen chdau	36880	41095	Benglam ktaak paa ding leen nuh psuk thi da Benglam a chen chdau
Khungsaai rek anto'	Khungsaai rek anto'	41450	42675	Khungsaai rek anto'
Benglam a ee you pchaang lam mdau mditto	Benglam a ee you pchaang lam mdau mditto	42865	45100	Benglam a ee you pchaang lam mdau mditto
